thickness_cm,n,absorbed_count,absorbed_fraction,absorbed_uncertainty,reflected_count,reflected_fraction,reflected_uncertainty,transmitted_count,transmitted_fraction,transmitted_uncertainty,max_steps_count,max_steps_fraction,max_steps_uncertainty,material
1.0,3000.0,126.0,0.042,0.0036622397518458563,1912.0,0.6373333333333333,0.008777614625769266,962.0,0.32066666666666666,0.008521337053842266,0.0,0.0,0.0,Water
3.0,3000.0,427.0,0.14233333333333334,0.006378990399625831,2297.0,0.7656666666666667,0.007733503350621507,276.0,0.092,0.005276867757802286,0.0,0.0,0.0,Water
5.0,3000.0,540.0,0.18,0.007014271166700073,2348.0,0.7826666666666666,0.00752993040152775,112.0,0.037333333333333336,0.003461192258724131,0.0,0.0,0.0,Water
7.0,3000.0,569.0,0.18966666666666668,0.007157588565576683,2393.0,0.7976666666666666,0.007334724615497517,38.0,0.012666666666666666,0.0020417494314290234,0.0,0.0,0.0,Water
9.0,3000.0,580.0,0.19333333333333333,0.00721007525516795,2404.0,0.8013333333333333,0.00728464646184522,16.0,0.005333333333333333,0.0013297730243527638,0.0,0.0,0.0,Water
11.0,3000.0,627.0,0.209,0.007423364017299255,2365.0,0.7883333333333333,0.007457968644094469,8.0,0.0026666666666666666,0.0009415511236882033,0.0,0.0,0.0,Water
13.0,3000.0,612.0,0.204,0.007357173370255726,2383.0,0.7943333333333333,0.00737942836288577,5.0,0.0016666666666666668,0.0007447346034861208,0.0,0.0,0.0,Water
15.0,3000.0,625.0,0.20833333333333334,0.007414637675021744,2374.0,0.7913333333333333,0.007419004625260024,1.0,0.0003333333333333333,0.0003332777731473764,0.0,0.0,0.0,Water
17.0,3000.0,638.0,0.21266666666666667,0.007470822256297174,2361.0,0.787,0.007475091972678329,1.0,0.0003333333333333333,0.0003332777731473764,0.0,0.0,0.0,Water
19.0,3000.0,635.0,0.21166666666666667,0.007457968644094469,2365.0,0.7883333333333333,0.007457968644094469,0.0,0.0,0.0,0.0,0.0,0.0,Water
21.0,3000.0,590.0,0.19666666666666666,0.007256925172754846,2410.0,0.8033333333333333,0.007256925172754846,0.0,0.0,0.0,0.0,0.0,0.0,Water
23.0,3000.0,658.0,0.21933333333333332,0.007554826762236669,2342.0,0.7806666666666666,0.007554826762236671,0.0,0.0,0.0,0.0,0.0,0.0,Water
25.0,3000.0,604.0,0.20133333333333334,0.007321161615987412,2396.0,0.7986666666666666,0.007321161615987412,0.0,0.0,0.0,0.0,0.0,0.0,Water
27.0,3000.0,616.0,0.20533333333333334,0.007374992780912976,2384.0,0.7946666666666666,0.007374992780912977,0.0,0.0,0.0,0.0,0.0,0.0,Water
29.0,3000.0,611.0,0.20366666666666666,0.007352699176845547,2389.0,0.7963333333333333,0.007352699176845547,0.0,0.0,0.0,0.0,0.0,0.0,Water
1.0,3000.0,24.0,0.008,0.0016264480727442034,448.0,0.14933333333333335,0.006507249518521346,2528.0,0.8426666666666667,0.006647795513189706,0.0,0.0,0.0,Lead
